============================= test session starts =============================
platform win32 -- Python 3.13.15, pytest-9.1.1, pluggy-1.6.0 -- C:\hostedtoolcache\windows\Python\3.13.15\x64\python.exe
cachedir: .pytest_cache
PySide6 6.11.2 -- Qt runtime 6.11.2 -- Qt compiled 6.11.2
rootdir: D:\a\KajovoNG\KajovoNG
configfile: pyproject.toml
testpaths: tests
plugins: anyio-4.15.1, cov-7.1.0, qt-4.5.0
tests/test_batch_completion.py::test_running_batch_is_normal_wait_without_writes[finalizing] PASSED [  3%]
tests/test_batch_completion.py::test_running_batch_is_normal_wait_without_writes[cancelling] PASSED [  3%]
tests/test_batch_completion.py::test_terminal_batch_without_files_is_partial[completed-False] PASSED [  3%]
tests/test_batch_completion.py::test_terminal_batch_without_files_is_partial[completed-True] PASSED [  3%]
tests/test_batch_completion.py::test_terminal_batch_without_files_is_partial[failed-False] PASSED [  3%]
tests/test_batch_completion.py::test_terminal_batch_without_files_is_partial[failed-True] PASSED [  3%]
tests/test_batch_completion.py::test_terminal_batch_without_files_is_partial[expired-False] PASSED [  3%]
tests/test_batch_completion.py::test_terminal_batch_without_files_is_partial[expired-True] PASSED [  3%]
tests/test_batch_completion.py::test_terminal_batch_without_files_is_partial[cancelled-False] PASSED [  3%]
tests/test_batch_completion.py::test_terminal_batch_without_files_is_partial[cancelled-True] PASSED [  4%]
tests/test_batch_completion.py::test_completion_preserves_state_when_download_fails PASSED [  4%]
tests/test_batch_completion.py::test_generate_repair_remains_pending_after_original_import PASSED [  4%]
tests/test_batch_completion.py::test_malformed_bundle_never_reports_success[[]] PASSED [  4%]
tests/test_batch_completion.py::test_malformed_bundle_never_reports_success[invalid] PASSED [  4%]
tests/test_batch_completion.py::test_malformed_bundle_never_reports_success[] PASSED [  4%]
tests/test_batch_completion.py::test_malformed_bundle_never_reports_success[null] PASSED [  4%]
tests/test_batch_completion.py::test_modify_rejects_duplicate_and_unrelated_ids_before_writing PASSED [  4%]
tests/test_batch_completion.py::test_corrupt_history_record_is_skipped PASSED [  4%]
tests/test_batch_completion_ui.py::test_batch_table_date_project_and_actions PASSED [  4%]
tests/test_batch_completion_ui.py::test_click_completes_in_background_and_refreshes_both_views[history] PASSED [  4%]
tests/test_batch_completion_ui.py::test_click_completes_in_background_and_refreshes_both_views[batches] PASSED [  4%]
tests/test_batch_completion_ui.py::test_double_completion_and_repeat_share_operation_lock PASSED [  4%]
tests/test_batch_completion_ui.py::test_active_run_blocks_import_to_overlapping_output PASSED [  4%]
tests/test_batch_completion_ui.py::test_failed_operation_releases_history_button PASSED [  4%]
tests/test_batch_completion_ui.py::test_default_model_is_persisted_without_replacing_current_assignment PASSED [  5%]
tests/test_batch_completion_ui.py::test_default_model_save_failure_and_unavailable_model_preserve_settings PASSED [  5%]
tests/test_batch_completion_ui.py::test_main_model_default_action_uses_shared_settings PASSED [  5%]
tests/test_batch_completion_ui.py::test_saved_default_is_used_after_window_restart PASSED [  5%]
tests/test_batch_continue_regression.py::test_continue_generate_batch_with_recovered_resume_files_skips_live_a1_a2 PASSED [  5%]
tests/test_cascade.py::test_schema_cannot_retrieve_external_urls PASSED  [  5%]
tests/test_cascade.py::test_schema_validates_nested_content PASSED       [  5%]
tests/test_cascade.py::test_missing_expected_file_does_not_overwrite_output PASSED [  5%]
tests/test_cascade.py::test_cascade_rejects_invalid_paths[/absolute.txt] PASSED [  5%]
tests/test_cascade.py::test_cascade_rejects_invalid_paths[../escape.txt] PASSED [  5%]
tests/test_cascade.py::test_cascade_rejects_invalid_paths[C:/escape.txt] PASSED [  5%]
tests/test_cascade.py::test_cascade_keeps_independent_definition_and_settings PASSED [  5%]
tests/test_cascade.py::test_invalid_cascade_step_is_not_silently_rewritten[raw0] PASSED [  5%]
tests/test_cascade.py::test_invalid_cascade_step_is_not_silently_rewritten[raw1] PASSED [  5%]
tests/test_cascade.py::test_invalid_cascade_step_is_not_silently_rewritten[raw2] PASSED [  6%]
tests/test_cascade.py::test_invalid_cascade_step_is_not_silently_rewritten[raw3] PASSED [  6%]
tests/test_cascade.py::test_invalid_cascade_step_is_not_silently_rewritten[raw4] PASSED [  6%]
tests/test_cascade.py::test_invalid_cascade_step_is_not_silently_rewritten[raw5] PASSED [  6%]
tests/test_cascade.py::test_invalid_cascade_step_is_not_silently_rewritten[raw6] PASSED [  6%]
tests/test_cascade.py::test_invalid_cascade_step_is_not_silently_rewritten[raw7] PASSED [  6%]
tests/test_cascade.py::test_unresolved_cascade_reference_fails PASSED    [  6%]
tests/test_cascade.py::test_cascade_exposes_effective_output_directory PASSED [  6%]
tests/test_cascade.py::test_text_cascade_cannot_complete_with_partial_response PASSED [  6%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw0] PASSED [  6%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw1] PASSED [  6%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw2] PASSED [  6%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw3] PASSED [  6%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw4] PASSED [  6%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw5] PASSED [  7%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw6] PASSED [  7%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw7] PASSED [  7%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw8] PASSED [  7%]
tests/test_cascade.py::test_cascade_metadata_is_not_silently_coerced[raw9] PASSED [  7%]
tests/test_cascade.py::test_cascade_timestamp_zero_survives_round_trip PASSED [  7%]
tests/test_cascade.py::test_text_cascade_unwraps_native_schema PASSED    [  7%]
tests/test_cascade.py::test_missing_custom_schema_is_prepared_automatically PASSED [  7%]
tests/test_cascade.py::test_invalid_cascade_content_is_rejected_before_local_upload PASSED [  7%]
tests/test_cascade_v2.py::test_forward_decision_target_is_allowed_in_draft_but_not_at_run PASSED [  7%]
tests/test_cascade_v2.py::test_same_context_uses_previous_response_id_automatically PASSED [  7%]
tests/test_cascade_v2.py::test_new_cascade_records_steps_and_explicit_safe_checkpoints PASSED [  7%]
tests/test_cascade_v2.py::test_cascade_safe_checkpoint_archives_required_local_input PASSED [  7%]
tests/test_cascade_v2.py::test_cascade_repair_instruction_is_only_in_new_step_request PASSED [  7%]
tests/test_cascade_v2.py::test_new_context_does_not_inherit_previous_response_id PASSED [  8%]
tests/test_cascade_v2.py::test_decision_routes_to_future_step_and_skips_other_branch PASSED [  8%]
tests/test_cascade_v2.py::test_step_contract_failure_retries_exactly_three_times PASSED [  8%]
tests/test_cascade_v2.py::test_output_input_reference_must_exist_and_be_previous PASSED [  8%]
tests/test_cascade_v2.py::test_resume_from_step_reuses_only_previous_context_lineage PASSED [  8%]
tests/test_cascade_v2.py::test_resume_is_blocked_when_a_previous_step_changed PASSED [  8%]
tests/test_comic_domain.py::test_project_persistence_trash_and_revision PASSED [  8%]
tests/test_comic_domain.py::test_bible_explicit_options_always_win PASSED [  8%]
tests/test_comic_domain.py::test_bible_real_request_contract_and_saved_revision PASSED [  8%]
tests/test_comic_domain.py::test_entity_generated_from_references[character-1] PASSED [  8%]
tests/test_comic_domain.py::test_entity_generated_from_references[character-3] PASSED [  8%]
tests/test_comic_domain.py::test_entity_generated_from_references[environment-1] PASSED [  8%]
tests/test_comic_domain.py::test_compiler_entity_combinations[kinds0] PASSED [  8%]
tests/test_comic_domain.py::test_compiler_entity_combinations[kinds1] PASSED [  8%]
tests/test_comic_domain.py::test_compiler_entity_combinations[kinds2] PASSED [  9%]
tests/test_comic_domain.py::test_compiler_entity_combinations[kinds3] PASSED [  9%]
tests/test_comic_domain.py::test_compiler_entity_combinations[kinds4] PASSED [  9%]
tests/test_comic_domain.py::test_compiler_entity_combinations[kinds5] PASSED [  9%]
tests/test_comic_domain.py::test_archived_and_foreign_reference_rejected PASSED [  9%]
tests/test_comic_domain.py::test_ast_rejects_forged_nodes PASSED         [  9%]
tests/test_comic_domain.py::test_formats_preserve_exact_target_without_stretch[size0] PASSED [  9%]
tests/test_comic_domain.py::test_formats_preserve_exact_target_without_stretch[size1] PASSED [  9%]
tests/test_comic_domain.py::test_formats_preserve_exact_target_without_stretch[size2] PASSED [  9%]
tests/test_comic_domain.py::test_formats_preserve_exact_target_without_stretch[size3] PASSED [  9%]
tests/test_comic_domain.py::test_formats_preserve_exact_target_without_stretch[size4] PASSED [  9%]
tests/test_comic_domain.py::test_formats_preserve_exact_target_without_stretch[size5] PASSED [  9%]
tests/test_comic_domain.py::test_batch_partial_retry_and_resume PASSED   [  9%]
tests/test_comic_domain.py::test_edit_creates_candidate_and_restore_preserves_history PASSED [  9%]
tests/test_comic_domain.py::test_unknown_submit_reconciles_without_second_post PASSED [  9%]
tests/test_comic_domain.py::test_corrupt_input_never_uploads PASSED      [ 10%]
tests/test_comic_domain.py::test_duplicate_remaps_entities_and_has_no_jobs PASSED [ 10%]
tests/test_comic_recovery.py::test_sunburst_never_sends_unsupported_fidelity PASSED [ 10%]
tests/test_comic_recovery.py::test_real_upload_validator_accepts_image_jsonl_and_rejects_mixing PASSED [ 10%]
tests/test_comic_recovery.py::test_canvas_edit_and_restore_keep_original PASSED [ 10%]
tests/test_comic_recovery.py::test_storage_failure_resumes_from_downloaded_archive PASSED [ 10%]
tests/test_comic_recovery.py::test_corrupt_image_does_not_discard_successful_panel PASSED [ 10%]
tests/test_comic_recovery.py::test_prompt_foreign_key_and_operation_lock PASSED [ 10%]
tests/test_comic_recovery.py::test_reference_change_invalidates_canonical_entity PASSED [ 10%]
tests/test_comic_recovery.py::test_cancel_before_submission_never_calls_provider PASSED [ 10%]
tests/test_comic_recovery.py::test_import_only_never_submits_prepared_batches PASSED [ 10%]
tests/test_comic_recovery.py::test_asset_path_cannot_escape_library PASSED [ 10%]
tests/test_comic_recovery.py::test_panel_order_delete_and_pending_guard PASSED [ 10%]
tests/test_comic_recovery.py::test_reference_removal_preserves_historical_assets PASSED [ 10%]
tests/test_comic_recovery.py::test_completed_panel_can_be_edited_while_other_group_runs PASSED [ 11%]
tests/test_comic_ui.py::test_atomic_chip_delete_undo_copy_and_roundtrip PASSED [ 11%]
tests/test_comic_ui.py::test_plain_text_never_becomes_entity PASSED      [ 11%]
tests/test_comic_ui.py::test_chip_selection_replacement_is_atomic PASSED [ 11%]
tests/test_comic_ui.py::test_studio_comic_crud_and_panel_save PASSED     [ 11%]
tests/test_comic_ui.py::test_text_overlay_renders_and_rejects_overflow PASSED [ 11%]
tests/test_comic_ui.py::test_export_text_has_dark_ink_under_studio_theme PASSED [ 11%]
tests/test_comic_ui.py::test_paper_dimensions_use_dpi PASSED             [ 11%]
tests/test_comic_ui.py::test_switching_project_preserves_unsaved_style PASSED [ 11%]
tests/test_comic_ui.py::test_library_setting_changes_namespace_safely PASSED [ 11%]
tests/test_comic_ui.py::test_window_close_persists_pending_comic PASSED  [ 11%]
tests/test_comic_ui.py::test_desktop_end_to_end_with_isolated_provider PASSED [ 11%]
tests/test_config.py::test_invalid_settings_rejected[raw0] PASSED        [ 11%]
tests/test_config.py::test_invalid_settings_rejected[raw1] PASSED        [ 11%]
tests/test_config.py::test_invalid_settings_rejected[raw2] PASSED        [ 12%]
tests/test_config.py::test_invalid_settings_rejected[raw3] PASSED        [ 12%]
tests/test_config.py::test_invalid_settings_rejected[raw4] PASSED        [ 12%]
tests/test_config.py::test_invalid_settings_rejected[raw5] PASSED        [ 12%]
tests/test_config.py::test_optional_security_lists_accept_null PASSED    [ 12%]
tests/test_config.py::test_legacy_financial_settings_are_ignored_without_touching_database PASSED [ 12%]
tests/test_config.py::test_clearing_secret_removes_environment_fallback PASSED [ 12%]
tests/test_context_compiler.py::test_determinism_relevance_and_separate_hashes PASSED [ 12%]
tests/test_context_compiler.py::test_scoped_invariant_and_provider_contract PASSED [ 12%]
tests/test_context_compiler.py::test_insufficient_contract_blocks[unknown_symbol] PASSED [ 12%]
tests/test_context_compiler.py::test_insufficient_contract_blocks[version] PASSED [ 12%]
tests/test_context_compiler.py::test_insufficient_contract_blocks[question] PASSED [ 12%]
tests/test_context_compiler.py::test_insufficient_contract_blocks[acceptance] PASSED [ 12%]
tests/test_context_compiler.py::test_insufficient_contract_blocks[scope] PASSED [ 12%]
tests/test_context_compiler.py::test_insufficient_contract_blocks[facet] PASSED [ 13%]
tests/test_context_compiler.py::test_insufficient_contract_blocks[source] PASSED [ 13%]
tests/test_context_compiler.py::test_insufficient_contract_blocks[provider] PASSED [ 13%]
tests/test_context_compiler.py::test_cycles_and_waves_are_deterministic PASSED [ 13%]
tests/test_context_compiler.py::test_selective_invalidation PASSED       [ 13%]
tests/test_context_compiler.py::test_verified_dependency_requires_content_and_contract_hash PASSED [ 13%]
tests/test_context_compiler.py::test_originals_are_selected_without_truncation PASSED [ 13%]
tests/test_context_compiler.py::test_legacy_does_not_silently_compile PASSED [ 13%]
tests/test_context_compiler.py::test_soft_hard_and_justification[1000-False-False] PASSED [ 13%]
tests/test_context_compiler.py::test_soft_hard_and_justification[90000-True-False] PASSED [ 13%]
tests/test_context_compiler.py::test_soft_hard_and_justification[160000-True-True] PASSED [ 13%]
tests/test_context_compiler.py::test_soft_hard_and_justification[210000-True-True] PASSED [ 13%]
tests/test_context_compiler.py::test_model_context_safety_and_long_context_threshold PASSED [ 13%]
tests/test_context_compiler.py::test_unknown_external_input_is_explicit PASSED [ 13%]
tests/test_context_compiler.py::test_complexity_and_output_budget_preserve_model PASSED [ 14%]
tests/test_context_compiler.py::test_cost_report_reimport_does_not_double_usage PASSED [ 14%]
tests/test_context_compiler.py::test_exact_artifact_is_not_redacted_and_tamper_blocks PASSED [ 14%]
tests/test_context_compiler.py::test_journal_recovers_exact_payload_without_redaction PASSED [ 14%]
tests/test_context_compiler.py::test_token_count_endpoint_never_creates_response PASSED [ 14%]
tests/test_context_compiler.py::test_poll_metadata_does_not_duplicate_immutable_work_payloads PASSED [ 14%]
tests/test_context_compiler.py::test_manifest_versions_and_file_context_integrity PASSED [ 14%]
tests/test_context_compiler.py::test_legacy_is_read_only_not_reinterpreted[1] PASSED [ 14%]
tests/test_context_compiler.py::test_legacy_is_read_only_not_reinterpreted[2] PASSED [ 14%]
tests/test_context_compiler.py::test_empty_file_is_rejected_without_losing_other_output PASSED [ 14%]
tests/test_contracts.py::test_json_rejects_ambiguous_or_nonfinite_values[{"x":1,"x":2}] PASSED [ 14%]
tests/test_contracts.py::test_json_rejects_ambiguous_or_nonfinite_values[{"x":NaN}] PASSED [ 14%]
tests/test_contracts.py::test_json_rejects_ambiguous_or_nonfinite_values[{"x":Infinity}] PASSED [ 14%]
tests/test_contracts.py::test_json_rejects_ambiguous_or_nonfinite_values[prefix {"x":NaN} suffix] PASSED [ 14%]
tests/test_contracts.py::test_json_rejects_ambiguous_or_nonfinite_values[{"x":1e999}] PASSED [ 14%]
tests/test_contracts.py::test_unusable_response_is_not_a_successful_text[response0] PASSED [ 15%]
tests/test_contracts.py::test_unusable_response_is_not_a_successful_text[response1] PASSED [ 15%]
tests/test_contracts.py::test_unusable_response_is_not_a_successful_text[response2] PASSED [ 15%]
tests/test_contracts.py::test_unusable_response_is_not_a_successful_text[response3] PASSED [ 15%]
tests/test_contracts.py::test_unusable_response_is_not_a_successful_text[response4] PASSED [ 15%]
tests/test_contracts.py::test_structure_schema_rejects_wrong_contract_and_actions PASSED [ 15%]
tests/test_contracts.py::test_manifest_path_conflicts[paths0] PASSED     [ 15%]
tests/test_contracts.py::test_manifest_path_conflicts[paths1] PASSED     [ 15%]
tests/test_contracts.py::test_manifest_path_conflicts[paths2] PASSED     [ 15%]
tests/test_contracts.py::test_invalid_generated_json_fails_instead_of_returning_empty_file PASSED [ 15%]
tests/test_contracts.py::ContractsTests::test_parse_json_strict_extracts_embedded_object PASSED [ 15%]
tests/test_contracts.py::ContractsTests::test_parse_json_strict_rejects_array PASSED [ 15%]
tests/test_contracts.py::ContractsTests::test_validate_paths PASSED      [ 15%]
tests/test_delivery_pipeline.py::test_delivery_eight_variants_use_canonical_preparation[False-False-GENERATE] FAILED [ 15%]

================================== FAILURES ===================================
_ test_delivery_eight_variants_use_canonical_preparation[False-False-GENERATE] _

tmp_path = WindowsPath('C:/Users/runneradmin/AppData/Local/Temp/pytest-of-runneradmin/pytest-0/test_delivery_eight_variants_u0')
mode = 'GENERATE', batch = False, maximum_quality = False

    @pytest.mark.parametrize("mode", ["GENERATE", "MODIFY"])
    @pytest.mark.parametrize("batch", [False, True])
    @pytest.mark.parametrize("maximum_quality", [False, True])
    def test_delivery_eight_variants_use_canonical_preparation(tmp_path, mode, batch, maximum_quality):
        worker, preparation, file = _scenario(tmp_path, mode, batch, maximum_quality)
        client, calls = _client(preparation + ([] if batch else [file]))
        results, errors = _run(worker, client)
>       assert not errors
E       assert not ['can only concatenate str (not "list") to str']

tests\test_delivery_pipeline.py:92: AssertionError
=========================== short test summary info ===========================
FAILED tests/test_delivery_pipeline.py::test_delivery_eight_variants_use_canonical_preparation[False-False-GENERATE] - assert not ['can only concatenate str (not "list") to str']
!!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!
================== 1 failed, 226 passed in 319.91s (0:05:19) ==================

PYTEST_EXIT_CODE=1
